latitude,longitude,value,aqi,so2,no2,o3,value2
36.9632779,140.8926893,22.0,17.0,1.5,6.5,1.6,22.0
36.9632779,140.8926893,30.0,17.0,1.5,6.5,1.6,30.0
36.9632779,140.8926893,33.0,17.0,1.5,6.5,1.6,33.0
37.2657039,140.9983584,30.0,9.0,1.5,1.9,11.2,30.0
37.2657039,140.9983584,21.0,9.0,1.5,1.9,11.2,21.0
37.2657039,140.9983584,24.0,9.0,1.5,1.9,11.2,24.0
37.2657039,140.9983584,33.0,9.0,1.5,1.9,11.2,33.0
37.2657039,140.9983584,26.0,9.0,1.5,1.9,11.2,26.0
37.2657039,140.9983584,26.0,9.0,1.5,1.9,11.2,26.0
37.2657039,140.9983584,27.0,9.0,1.5,1.9,11.2,27.0
37.2657039,140.9983584,27.0,9.0,1.5,1.9,11.2,27.0
37.2657039,140.9983584,29.0,9.0,1.5,1.9,11.2,29.0
37.2657039,140.9983584,26.0,9.0,1.5,1.9,11.2,26.0
37.2657039,140.9983584,29.0,9.0,1.5,1.9,11.2,29.0
37.2657039,140.9983584,23.0,9.0,1.5,1.9,11.2,23.0
37.2657039,140.9983584,22.0,9.0,1.5,1.9,11.2,22.0
35.7260247,139.928024,108.0,21.0,1.5,19.5,4.0,108.0
35.4268139,140.3009496,124.2,21.0,1.5,4.7,9.6,124.2
36.9632779,140.8926893,29.0,17.0,1.5,6.5,1.6,29.0
35.62048,139.7190949,25.0,8.0,1.5,14.9,10.4,25.0
36.9632779,140.8926893,18.0,25.0,1.5,3.8,22.4,18.0
37.2657039,140.9983584,19.0,10.0,1.5,1.9,27.2,19.0
37.2657039,140.9983584,34.0,10.0,1.5,1.9,27.2,34.0
37.2657039,140.9983584,26.0,10.0,1.5,1.9,27.2,26.0
38.9029263,141.5706975,16.0,5.0,1.5,1.0,0.8,16.0
35.6867078,139.7081686,27.0,16.0,1.5,15.8,3.2,27.0
35.7501633,139.5578842,29.0,15.0,1.5,16.7,0.8,29.0
36.9632779,140.8926893,30.0,25.0,1.5,3.8,22.4,30.0
36.9632779,140.8926893,28.0,25.0,1.5,3.8,22.4,28.0
36.9632779,140.8926893,22.0,25.0,1.5,3.8,22.4,22.0
36.9632779,140.8926893,26.0,25.0,1.5,3.8,22.4,26.0
36.9632779,140.8926893,31.0,25.0,1.5,3.8,22.4,31.0
36.9632779,140.8926893,35.0,25.0,1.5,3.8,22.4,35.0
36.9632779,140.8926893,25.0,25.0,1.5,3.8,22.4,25.0
37.934262,139.0910515,38.0,13.0,1.5,3.8,17.6,38.0
37.934262,139.0910515,33.0,13.0,1.5,3.8,17.6,33.0
37.9564998,139.143863,36.0,17.0,1.5,4.7,16.0,36.0
37.9564998,139.143863,37.0,17.0,1.5,4.7,16.0,37.0
37.9161924,139.0364126,46.0,18.0,1.5,3.8,18.4,46.0
37.9564998,139.143863,34.0,17.0,1.5,4.7,16.0,34.0
37.9564998,139.143863,32.0,17.0,1.5,4.7,16.0,32.0
37.9564998,139.143863,31.0,17.0,1.5,4.7,16.0,31.0
37.9564998,139.143863,49.0,17.0,1.5,4.7,16.0,49.0
37.3909309,140.3965114,53.0,25.0,1.5,5.6,3.2,53.0
37.3909309,140.3965114,78.0,25.0,1.5,5.6,3.2,78.0
37.3909309,140.3965114,55.0,25.0,1.5,5.6,3.2,55.0
37.3909309,140.3965114,42.0,25.0,1.5,5.6,3.2,42.0
37.4940417,139.925646,51.0,25.0,1.5,3.8,6.4,51.0
37.4940417,139.925646,41.0,25.0,1.5,3.8,6.4,41.0
37.4940417,139.925646,44.0,25.0,1.5,3.8,6.4,44.0
37.3909309,140.3965114,54.0,25.0,1.5,5.6,3.2,54.0
37.3909309,140.3965114,46.0,25.0,1.5,5.6,3.2,46.0
37.3935821,140.3435799,113.0,42.0,1.5,13.9,4.8,113.0
42.3584308,-71.0597732,37.0,34.0,0.5,11.2,16.0,37.0
35.6523419,139.6906188,39.0,9.0,1.5,16.7,12.8,39.0
45.5576413,8.0552155,24.0,14.0,5.1,6.4,14.3,24.0
42.3584308,-71.0597732,35.0,34.0,0.5,11.2,16.0,35.0
37.4940417,139.925646,46.0,25.0,1.5,3.8,6.4,46.0
37.4940417,139.925646,39.0,25.0,1.5,3.8,6.4,39.0
37.4940417,139.925646,55.0,25.0,1.5,3.8,6.4,55.0
37.3935821,140.3435799,50.0,42.0,1.5,13.9,4.8,50.0
37.1271061,140.2016157,147.0,25.0,1.5,2.8,4.8,147.0
37.4940417,139.925646,42.0,25.0,1.5,3.8,6.4,42.0
37.4940417,139.925646,38.0,25.0,1.5,3.8,6.4,38.0
37.4940417,139.925646,35.0,25.0,1.5,3.8,6.4,35.0
37.4940417,139.925646,35.0,25.0,1.5,3.8,6.4,35.0
37.4940417,139.925646,45.0,25.0,1.5,3.8,6.4,45.0
37.3935821,140.3435799,77.0,42.0,1.5,13.9,4.8,77.0
37.3935821,140.3435799,52.0,42.0,1.5,13.9,4.8,52.0
37.4940417,139.925646,40.0,25.0,1.5,3.8,6.4,40.0
37.4940417,139.925646,29.0,25.0,1.5,3.8,6.4,29.0
37.4940417,139.925646,32.0,25.0,1.5,3.8,6.4,32.0
37.3935821,140.3435799,50.0,42.0,1.5,13.9,4.8,50.0
37.3935821,140.3435799,98.0,42.0,1.5,13.9,4.8,98.0
37.4940417,139.925646,36.0,25.0,1.5,3.8,6.4,36.0
37.4940417,139.925646,51.0,25.0,1.5,3.8,6.4,51.0
37.4940417,139.925646,38.0,25.0,1.5,3.8,6.4,38.0
37.4940417,139.925646,44.0,25.0,1.5,3.8,6.4,44.0
35.6080359,139.6144752,38.0,11.0,1.5,23.2,10.4,38.0
35.6080359,139.6144752,33.0,11.0,1.5,23.2,10.4,33.0
35.6080359,139.6144752,35.0,11.0,1.5,23.2,10.4,35.0
35.6080359,139.6144752,37.0,11.0,1.5,23.2,10.4,37.0
35.6465721,139.6532473,29.0,10.0,1.5,12.1,9.6,29.0
35.6639824,139.6979483,18.0,4.0,1.5,8.4,12.8,18.0
35.6639824,139.6979483,33.0,4.0,1.5,8.4,12.8,33.0
35.6465721,139.6532473,25.0,10.0,1.5,12.1,9.6,25.0
35.6639824,139.6979483,21.0,4.0,1.5,8.4,12.8,21.0
37.3935821,140.3435799,46.0,42.0,1.5,13.9,4.8,46.0
37.3935821,140.3435799,114.0,42.0,1.5,13.9,4.8,114.0
37.3935821,140.3435799,67.0,42.0,1.5,13.9,4.8,67.0
37.3935821,140.3435799,68.0,42.0,1.5,13.9,4.8,68.0
37.3935821,140.3435799,81.0,42.0,1.5,13.9,4.8,81.0
37.3935821,140.3435799,35.0,42.0,1.5,13.9,4.8,35.0
